id,directory,filepath,function_name,description,input_parameters,returns
11,core,`myR/R/core/validation.R`,`validate_genes`,개체에 유전자가 있는지 확인하고 선택적으로 유효한 유전자로 필터링합니다.,"객체`: 사용 가능한 유전자의 서랫 객체 또는 문자 벡터, `genes`: 검증할 유전자의 문자 벡터, `min_present`: 존재해야 하는 최소 유전자 수(기본값: 모두), `assay`: 유전자를 확인할 분석(Seurat 객체의 경우), `warn_missing`: 누락된 유전자에 대해 경고할지 여부",객체에 존재하는 유효한 유전자의 문자 벡터
12,core,`myR/R/core/validation.R`,`validate_numeric_range`,숫자 매개변수가 허용 범위 내에 있는지 확인합니다.,"값`: 유효성을 검사할 숫자 값, `param_name`: 매개변수 이름(오류 메시지의 경우), `min`: 허용되는 최소값(포함), `max`: 최대 허용 값(포함), `allow_na`: NA 허용 여부","유효하면 TRUE, 그렇지 않으면 오류 메시지와 함께 중지합니다."
13,core,`myR/R/core/validation.R`,`validate_choice`,값이 허용된 선택지 중 하나인지 확인합니다(match.arg와 비슷하지만 더 많은 정보를 제공합니다).,"값`: 유효성을 검사할 값, `param_name`: 매개변수 이름(오류 메시지의 경우), `선택`: 허용되는 값의 벡터, `multiple`: 다중 선택 허용 여부",유효성이 검사된 값(또는 multiple=TRUE인 경우 값)
14,core,`myR/R/core/validation.R`,`validate_path`,파일 경로가 존재하는지 확인하고 선택적으로 확장자의 유효성을 검사합니다.,"경로`: 유효성을 검사할 파일 경로, `must_exist`: 파일이 이미 존재해야 하는지 여부, `확장자`: 허용되는 확장자의 선택적 벡터(예: c(""csv"", ""txt"")), `type`: 경로 유형(""파일"" 또는 ""디렉토리"")","유효하면 정규화된 경로, 그렇지 않으면 오류와 함께 중지합니다."
15,core,`myR/R/core/validation.R`,`create_error_message`,일관되고 유익한 오류 메시지를 작성하는 도우미입니다.,"컨텍스트`: 오류가 발생한 컨텍스트(예: 함수 이름), `메시지`: 주요 오류 메시지, `제안`: 오류 수정을 위한 선택적 제안",형식이 지정된 오류 메시지
16,core,`myR/R/core/validation.R`,`check_packages`,필요한 패키지가 설치되어 있는지 확인하고 선택적으로 로드합니다.,"패키지`: 패키지 이름의 문자 벡터, `load`: 패키지를 로드할지 여부(기본값: FALSE)","모든 패키지를 사용할 수 있으면 TRUE, 그렇지 않으면 오류와 함께 중지합니다."
17,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`ligand_to_target`,니치넷 데이터베이스에서 리간드-표적 유전자 조절 가능성을 검색합니다.,"리간드`: 리간드 유전자의 문자 벡터, `표적`: 표적 유전자의 문자 벡터, `lr_network`: 리간드-수용체 네트워크(NicheNet에서 가져온), `sig_network`: 시그널링 네트워크(NicheNet에서 제공), `gr_network`: 유전자 조절 네트워크(NicheNet에서 제공), `top_n_targets`: 리간드당 반환할 상위 타깃 수(기본값: 250)",리간드-표적 조절 잠재력 점수가 포함된 데이터 프레임
18,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`run_nichenet_analysis`,"리간드 활성 예측, 수용체 추론 및 시각화를 포함한 포괄적인 NicheNet 세포 간 통신 분석 워크플로우를 수행합니다.","seurat_obj`: 서랏 객체, `발신자_셀`: 발신자 셀 ID 벡터 또는 논리 벡터, `receiver_cells`: 수신자 셀 ID 벡터 또는 논리 벡터, `condition_oi`: 수신기 DE 분석을 위한 관심 조건, `condition_ref`: 수신자 DE 분석을 위한 참조 조건, `ident_col`: 메타데이터의 식별 열(기본값: ""seurat_clusters""), `condition_col`: 메타데이터의 조건 열(DE에 필요), `lr_network`: 리간드-수용체 네트워크(NicheNet에서 제공), `sig_network`: 시그널링 네트워크(NicheNet에서 제공), `gr_network`: 유전자 조절 네트워크(NicheNet에서 제공), `리간드_표적_매트릭스`: 미리 계산된 리간드-표적 행렬(선택 사항), `expressed_pct`: 표현 퍼센트 임계값(기본값: 0.10), `top_n_ligands`: 분석할 상위 리간드 수(기본값: 20), `top_n_targets`: 리간드당 상위 타깃 수(기본값: 200), `plot_circos`: 서코스 플롯 생성(기본값: FALSE), `output_dir`: 플롯을 저장할 디렉터리(기본값: NULL)","포함 목록: 리간드_활동, 베스트_리간드, 리간드_표적_링크, 리간드_수용체_링크, 플롯, 경고"
19,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`prepare_nichenet_circos_data`,Circos 시각화를 위한 리간드-수용체 및 리간드-표적 데이터를 준비합니다.,"리간드_수용체_링크`: 리간드-수용체 쌍이 있는 데이터 프레임, `리간드_표적_링크`: 리간드-표적 조절 링크가 있는 데이터 프레임, `리간드_활동`: 리간드 활성 점수가 포함된 데이터 프레임, `top_n_ligands`: 포함할 상위 리간드 수(기본값: 10개), `top_n_targets`: 리간드당 상위 타깃 수(기본값: 20)",서코스 플롯에 대한 형식이 지정된 데이터가 포함된 목록
20,analysis,`myR/R/analysis/cell_communication/nichenet_analysis.R`,`draw_nichenet_circos_plot`,리간드-수용체 및 리간드-표적 상호작용을 보여주는 Circos 플롯을 생성합니다.,"circos_data`: prepare_nichenet_circos_data, `리간드_색`의 목록입니다: 리간드의 색상(기본값: ""#E41A1C""), `수용체_색상`: 수용체의 색상(기본값: ""#377EB8""), `target_color`: 표적의 색상(기본값: ""#4DAF4A"")",NULL(플롯이 현재 장치에 그려짐)
21,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`prepare_pseudobulk_edgeR`,차등 표현식 분석을 위해 단일 세포 수를 의사 대량 수준으로 집계합니다.,"객체`: 서랏 객체, `sample_col`: 샘플/복제를 식별하는 메타데이터 열, `group_col`: 그룹화를 위한 메타데이터 열(예: 조건, 처리), `cluster_col`: 클러스터별 분석을 위한 선택적 클러스터 열(기본값: NULL), `target_cluster`: cluster_col이 지정되면 이 클러스터만 분석(기본값: NULL), `assay`: 사용할 분석(기본값: ""RNA""), `슬롯`: 사용할 슬롯(기본값: ""카운트""), `min_cells`: 포함할 샘플당 최소 세포 수(기본값: 10), `min_counts`: 유전자당 최소 총 개수(기본값: 10)","개수, 메타데이터 및 클러스터 정보가 포함된 목록"
22,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`run_pseudobulk_deg`,edgeR 기반 유사 대량 차등 유전자 발현 분석을 수행합니다.,"객체`: 서랏 객체 또는 준비된 의사 대량 목록, `sample_col`: 샘플 식별자 열, `group_col`: 그룹 비교 열, `comparison`: 비교를 위한 2요소 벡터(예: c(""Treatment"", ""Control"")), `cluster_col`: 선택적 클러스터 열, `target_cluster`: 분석할 특정 클러스터, `모드`: 분석 모드: ""overall"", ""per_cluster"", ""specific_cluster"", `assay`: 사용할 분석(기본값: ""RNA""), `슬롯`: 사용할 슬롯(기본값: ""카운트""), `min_cells`: 샘플당 최소 세포 수(기본값: 10), `min_counts`: 유전자당 최소 총 개수(기본값: 10), `fdr_threshold`: FDR 임계값(기본값: 0.05), `logfc_threshold`: 로그 폴드 변경 임계값(기본값: 0)",DE 결과가 있는 데이터 프레임 또는 per_cluster인 경우 데이터 프레임 목록
23,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`.run_edger_analysis`,내부 edgeR 분석.,"counts`: 카운트, `metadata`: 메타데이터, `group_col`: 그룹_콜, `comparison`: 비교, `fdr_threshold`: fdr_threshold, `logfc_threshold`: 로그fc_임계값",DE 결과가 포함된 데이터 프레임
24,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`linear_seurat`,"연속형, 범주형 및 서수형 예측자를 지원하여 회귀자에 대한 유전자 발현에 대한 선형 회귀 분석을 수행합니다.","`sobj`: 서랏 객체, `레이어`: 표현식 레이어: ""counts"", ""data"", ""scale.data"", `features`: 테스트할 기능(기본값: ""모두""), `회귀자`: 메타데이터의 회귀 변수 이름, `regressor.type`: 유형: ""연속형"", ""범주형"", ""서수"", `reference.level`: 범주형에 대한 참조 수준, `ordinal.method`: 서수에 대한 메서드: ""선형"", ""다항식"", ""스플라인"", `link.function`: 링크 함수: ""선형"", ""포아송"", ""음.이항"", `효과`: 효과 유형: ""고정"", ""랜덤"", `공변량`: 공변량 열 이름, `min.cells`: 유전자를 발현하는 최소 세포 수(기본값: 10), `return.full`: Seurat 객체를 포함한 전체 결과 반환",회귀 결과가 포함된 데이터 프레임
25,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`create_analysis_config`,"복잡한 실험 설계(예: 환자, 약물, 시점이 있는 GeoMx)에서 메타데이터 열 이름을 일관되게 관리할 수 있는 구성 개체를 만듭니다.","환자`: 환자 ID의 열 이름, `약물`: 약물/치료의 열 이름, `시점`: 시점의 열 이름(예: 사전/사후), `ck`: 층화 변수의 열 이름(예: CK 상태), `response`: 치료 반응에 대한 열 이름, `aoi`: AOI(관심 영역) ID의 열 이름",열 이름이 포함된 명명된 목록
26,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`fit_lmm_single_gene`,복잡한 실험 설계에서 하나의 유전자에 대한 Lmer 모델을 맞추기 위한 내부 도우미입니다.,"유전자_expr`: 표현식 값의 숫자 벡터, `metadata`: 메타데이터 데이터 프레임, `config`: create_analysis_config()의 분석 구성, `formula_str`: 선택적 사용자 정의 수식 문자열, `formula_components`: 고정, 상호 작용 및 임의 구성 요소가 포함된 목록, `use_config_names`: 일반 이름을 구성 이름에 매핑할지 여부","모델, 효과, 아노바, 수렴 상태가 포함된 목록"
27,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`summarize_lmm_results`,여러 LMM의 결과를 결합하고 조정된 p값을 계산하는 내부 도우미입니다.,"lmm_results`: fit_lmm_single_gene, `config`의 결과 목록입니다: 분석 구성",모든 모델 효과를 요약한 깔끔한 데이터 프레임
28,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`run_lmm_multiple_genes`,"여러 유전자에 LMM을 병렬로 적용합니다. 복잡한 실험 설계(예: 환자, 약물, 시점, 반응)를 가진 LMM 분석의 주요 작업자입니다.","seurat_obj`: Seurat 객체, `genes`: 분석할 유전자 이름의 문자 벡터, `config`: create_analysis_config()의 분석 구성, `formula_str`: 선택적 사용자 정의 공식 문자열, `formula_components`: 모델 수식 구성 요소를 지정하는 목록, `use_config_names`: 수식에 구성 이름을 사용할지 여부, `n_cores`: 병렬 처리를 위한 CPU 코어 수, `verbose`: 진행 메시지 출력 여부","포함 목록: raw_results, summary, converged_genes, total_genes"
29,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`find_response_differential_genes`,LMM 결과에서 약물별로 치료 반응이 다른 유전자를 식별합니다.,"lmm_summary`: run_lmm_multiple_genes, `config`의 요약 데이터 프레임: 분석 구성, `drug_name`: 집중할 특정 약물 이름(선택 사항), `top_n`: 반환할 상위 유전자 수",효과 크기별로 순위가 매겨진 상위 유전자 데이터 프레임
30,analysis,`myR/R/analysis/differential_expression/differential_expression.R`,`find_drug_specific_genes`,특정 약물과 가장 밀접하게 연관된 유전자를 식별합니다.,"lmm_summary`: run_lmm_multiple_genes, `config`의 요약 데이터 프레임: 분석 구성, `top_n`: 반환할 상위 유전자 수",효과 크기별로 순위가 매겨진 상위 유전자 데이터 프레임
31,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_trim`,로그 폴드 변화 방향과 조정된 p-값 임계값을 기준으로 마커 유전자 결과를 필터링합니다.,"마커`: FindMarkers/FindAllMarkers의 데이터 프레임, `방향`: 필터 방향: ""위로""(양수 로그FC), ""아래로""(음수 로그FC) 또는 ""둘 다""(기본값: ""둘 다""), `padj_threshold`: 조정된 p값 임계값(기본값: 0.05), `logfc_col`: 로그 폴드 변경 열의 이름(기본값: ""avg_log2FC""), `padj_col`: 조정된 p-값 열의 이름(기본값: ""p_val_adj"")",필터링된 데이터 프레임
32,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_filter`,"마커 결과에서 리보솜, 미토콘드리아, 헤모글로빈 및 기타 원치 않는 유전자를 제거합니다.","마커`: FindMarkers/FindAllMarkers의 데이터 프레임, `remove_ribo`: 리보솜 유전자 제거(^RP[SL])(기본값: TRUE), `remove_mito`: 미토콘드리아 유전자 제거(^MT-)(기본값: TRUE), `remove_hb`: 헤모글로빈 유전자 제거(^HB[AB])(기본값: TRUE), `remove_ig`: 면역글로불린 유전자 제거(^IG[HKL])(기본값: FALSE), `remove_tr`: T세포 수용체 유전자 제거(^TR[ABGD])(기본값: FALSE), `custom_patterns`: 제거할 추가 정규식 패턴(기본값: NULL), `gene_col`: 유전자 열의 이름(기본값: ""유전자"" 또는 없는 경우 고유명사)",필터링된 데이터 프레임
33,analysis,`myR/R/analysis/markers/marker_processing.R`,`lrf`,선형 혼합 모델 결과에서 '(인터셉트)' 항을 필터링합니다.,"결과`: 모델 결과가 포함된 데이터 프레임, `term_col`: 학기 이름이 포함된 열의 이름(기본값: ""term"")",필터링된 데이터 프레임
34,analysis,`myR/R/analysis/markers/marker_processing.R`,`all_markers_to_list`,클러스터당 하나의 요소를 사용하여 FindAllMarkers 출력을 명명된 목록으로 변환합니다.,"all_markers`: FindAllMarkers의 데이터 프레임, `cluster_col`: 클러스터 열의 이름(기본값: ""클러스터""), `gene_col`: 유전자 열의 이름(기본값: ""gene"" 또는 rownames)","마커 데이터 프레임의 명명된 목록, 클러스터당 하나씩"
35,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_print_all`,각 클러스터의 상위 N개의 마커 유전자를 FindAllMarkers 출력에서 인쇄합니다.,"all_markers`: FindAllMarkers의 데이터 프레임, `n`: 클러스터당 인쇄할 상위 마커 수(기본값: 10), `order_by`: 정렬할 열(기본값: ""avg_log2FC""), `decreasing`: 내림차순으로 정렬(기본값: TRUE), `cluster_col`: 클러스터 열의 이름(기본값: ""클러스터""), `gene_col`: 유전자 컬럼의 이름(기본값: ""gene"" 또는 rownames)",입력 데이터 프레임을 보이지 않게 반환합니다.
36,analysis,`myR/R/analysis/markers/marker_processing.R`,`marker_print`,단일 마커 데이터 프레임에서 상위 N개의 마커 유전자를 인쇄합니다.,"마커`: FindMarkers의 데이터 프레임, `n`: 인쇄할 상위 마커 수(기본값: 10), `order_by`: 정렬할 열(기본값: ""avg_log2FC""), `decreasing`: 내림차순으로 정렬(기본값: TRUE), `gene_col`: 유전자 열의 이름(기본값: ""유전자"" 또는 고유명사), `columns`: 표시할 열(기본값: c(""avg_log2FC"", ""p_val_adj""))",입력 데이터 프레임을 보이지 않게 반환합니다.
37,analysis,`myR/R/analysis/markers/marker_processing.R`,`synthesize_markers`,"피셔의 방법을 사용하여 여러 FindMarkers 결과의 p값과 로그 폴드 변화를 결합하고, 피셔의 방법을 사용하여 로그 폴드 변화에 가중 평균을 적용합니다.","마커 목록`: 마커 데이터 프레임의 명명된 목록, `gene_col`: 유전자 열의 이름(기본값: ""gene"" 또는 rownames), `logfc_col`: 로그 폴드 변경 열의 이름(기본값: ""avg_log2FC""), `pval_col`: p값 열의 이름(기본값: ""p_val""), `weights`: 각 데이터 세트에 대한 선택적 가중치(기본값: 동일한 가중치)",합성된 결과가 포함된 데이터 프레임
38,analysis,`myR/R/analysis/markers/marker_processing.R`,`synthesize_ranks`,순위의 기하 평균을 사용하여 여러 FindMarkers 결과의 순위를 결합합니다.,"마커 목록`: 마커 데이터 프레임의 명명된 목록, `gene_col`: 유전자 열의 이름(기본값: ""gene"" 또는 rownames), `rank_by`: 순위를 매길 열(기본값: ""avg_log2FC""), `decreasing`: 내림차순 순위(기본값: TRUE)",합성 순위가 포함된 데이터 프레임
39,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`convert_gene_ids`,"유전자 식별자를 다른 형식(예: SYMBOL, ENTREZID, ENSEMBL)으로 변환합니다.","유전자`: 유전자 식별자의 문자 벡터, `from`: 소스 ID 유형(기본값: ""SYMBOL""), `to`: 대상 ID 유형(기본값: ""ENTREZID""), `org_db`: 유기체 데이터베이스(기본값: 인간의 경우 org.Hs.eg.db), `remove_na`: 변환할 수 없는 유전자 제거(기본값: TRUE)",변환된 ID의 명명된 문자 벡터(이름은 원래 ID)
40,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`prepare_gene_lists`,경로 분석을 위해 차등 발현 결과에서 유전자 목록을 준비합니다.,"`deg_results`: DE 결과가 포함된 데이터 프레임(logFC 및 p값 열을 포함해야 함), `gene_col`: 유전자 열의 이름(기본값: ""gene"" 또는 rownames), `logfc_col`: 로그 폴드 변경 열의 이름(기본값: ""logFC"" 또는 ""avg_log2FC""), `pval_col`: p값 열의 이름(기본값: ""pvalue"" 또는 ""p_val""), `padj_col`: 조정된 p-값 열의 이름(기본값: ""padj"" 또는 ""p_val_adj""), `padj_threshold`: 조정된 p-값 임계값(기본값: 0.05), `logfc_threshold`: 로그 폴드 변경 임계값(기본값: 0), `convert_ids`: 유전자 ID를 엔트레지드로 변환(기본값: TRUE)","포함 목록: ranked_genes, up_genes, down_genes, sig_genes, background_genes"
41,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`get_pathway_sets`,GSEA에 사용 가능한 경로 데이터베이스 식별자를 반환합니다.,"종`: 종 코드(기본값: ""호모 사피엔스""), `category`: MSigDB 카테고리(예: ""H"", ""C2"", ""C5""), `subcategory`: MSigDB 하위 카테고리(예: ""CP:KEGG"", ""GO:BP"")",사용 가능한 유전자 세트 이름의 문자 벡터
42,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_go_analysis`,클러스터프로파일러를 사용해 유전자 온톨로지(GO) 강화 분석을 수행합니다.,"유전자`: 유전자 ID의 문자 벡터(엔트레지드 형식), `유니버스`: 배경 유전자 유니버스(선택 사항), `ont`: GO 온톨로지: ""BP"", ""MF"", ""CC"" 또는 ""ALL""(기본값: ""BP""), `pval_cutoff`: P값 컷오프(기본값: 0.05), `qval_cutoff`: Q-값 컷오프(기본값: 0.05), `org_db`: 오가니즘 데이터베이스(기본값: org.Hs.eg.db)",클러스터 프로파일러의 enrichResult 객체
43,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_kegg_analysis`,클러스터프로파일러를 사용하여 KEGG 경로 강화 분석을 수행합니다.,"유전자`: 유전자 ID의 문자 벡터(엔트레지드 형식), `유니버스`: 배경 유전자 유니버스(선택 사항), `유기체`: KEGG 유기체 코드(기본값: 인간의 경우 ""hsa""), `pval_cutoff`: P값 컷오프(기본값: 0.05), `qval_cutoff`: Q값 컷오프(기본값: 0.05)",클러스터프로파일러의 enrichResult 객체
44,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`run_gsea_analysis`,MSigDB 유전자 세트와 함께 fgsea를 사용하여 GSEA를 수행합니다.,"랭크된 유전자`: 점수에 따라 순위가 매겨진 유전자의 명명된 숫자 벡터(예: logFC), `species`: MSigDB의 종(기본값: ""호모 사피엔스""), `category`: MSigDB 카테고리(기본값: 홀마크의 경우 ""H""), `subcategory`: MSigDB 하위 카테고리(선택 사항), `min_size`: 최소 유전자 세트 크기(기본값: 15), `max_size`: 최대 유전자 집합 크기(기본값: 500), `nperm`: 순열의 개수(기본값: 10000)",GSEA 결과가 포함된 데이터 프레임
45,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`format_results`,다양한 경로 분석 방법의 출력을 표준화합니다.,"결과`: GO, KEGG 또는 GSEA 분석의 결과 객체, `method`: 사용된 메서드: ""GO"", ""KEGG"" 또는 ""GSEA""",표준화된 데이터 프레임
46,analysis,`myR/R/analysis/pathway/pathway_enrichment.R`,`myGO`,"GO, KEGG 및 GSEA 분석을 실행하고 결합된 결과를 반환합니다.","`deg_results`: 미분 식 결과가 있는 데이터 프레임, `run_go`: GO 분석 수행(기본값: TRUE), `run_kegg`: KEGG 분석 수행(기본값: TRUE), `run_gsea`: GSEA 수행(기본값: TRUE), `go_ont`: GO 온톨로지(기본값: ""BP""), `gsea_category`: GSEA용 MSigDB 카테고리(기본값: ""H""), `padj_threshold`: 유전자 선택을 위한 조정된 p-값 임계값(기본값: 0.05), `logfc_threshold`: 로그 폴드 변경 임계값(기본값: 0)",각 분석 방법의 결과가 포함된 목록
47,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`prepare_geomx_data`,표준 형식으로 정리하여 분석을 위한 원시 GeoMx 카운트 데이터를 준비합니다.,"카운트`: 카운트 행렬(유전자 x ROI), `metadata`: ROI 수준 메타데이터가 포함된 데이터 프레임, `feature_info`: 유전자/프로브 정보가 포함된 데이터 프레임(옵션)","포함 목록: 개수, 메타데이터, 기능"
48,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`q3_normalize`,GeoMx 카운트 데이터에 대해 Q3(3사분위수) 정규화를 수행합니다.,"geomx_data`: prepare_geomx_data 또는 카운트 행렬, `scale_factor`의 목록입니다: 정규화 후 스케일링 계수(기본값: 1000)",입력과 동일한 형식의 정규화된 데이터
49,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`perform_qc`,GeoMx 데이터에 대한 기본 품질 관리 검사 및 필터링을 수행합니다.,"geomx_data`: prepare_geomx_data, `min_counts`의 목록: ROI당 최소 총 개수(기본값: 1000), `min_genes`: ROI당 최소 검출된 유전자 수(기본값: 100), `min_rois`: 유전자를 발현하는 최소 ROI 수(기본값: 2)",메타데이터에 QC 메트릭이 추가된 필터링된 GeoMx 데이터 목록
50,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`find_deg_geomx`,림마 또는 윌콕슨 테스트를 사용하여 GeoMx 데이터에 대한 차등 표현식 분석을 수행합니다.,"geomx_data`: prepare_geomx_data(정규화된), `group_col`의 목록입니다: 그룹화를 위한 메타데이터 열, `비교`: 비교할 비교(예: c(""Treatment"", ""Control"")), `method`: 사용할 메서드: ""림마"" 또는 ""윌콕스""(기본값: ""림마""), `공변량`: 림마 모델에 포함할 공변량 열(선택 사항), `log_transform`: log2(x+1) 변환 적용(기본값: 림마의 경우 TRUE)",미분 표현식 결과가 포함된 데이터 프레임
51,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`.geomx_limma`,내부 림마 분석.,"`expr_data`: 표현식 데이터, `메타데이터`: 메타데이터, `group_col`: 그룹 열, `비교`: 비교, `공변량`: 공변량",림마 결과가 포함된 데이터 프레임
52,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`.geomx_wilcox`,내부 윌콕슨 테스트.,"`expr_data`: 표현식 데이터, `메타데이터`: 메타데이터, `group_col`: 그룹 열, `비교`: 비교",윌콕슨 결과가 포함된 데이터 프레임
53,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`plot_deg_volcano`,Creates a volcano plot from differential expression results.,"`deg_results`: Data frame from find_deg_geomx, `padj_threshold`: Adjusted p-value threshold (default: 0.05), `logfc_threshold`: Log fold change threshold (default: 1), `label_top`: Number of top genes to label (default: 10), `title`: Plot title",ggplot object
54,analysis,`myR/R/analysis/spatial/geomx_analysis.R`,`plot_deg_heatmap`,차별적으로 발현되는 상위 유전자에 대한 히트맵을 생성합니다.,"geomx_data`: GeoMx 데이터 목록(정규화된), `deg_results`: find_deg_geomx의 데이터 프레임, `group_col`: 그룹화를 위한 메타데이터 열, `n_genes`: 플롯할 상위 유전자 수(기본값: 50), `scale_rows`: Z-점수 스케일 행(기본값: TRUE)",히트맵(복합 히트맵 또는 히트맵 객체)
